ATP TENNIS PLAYERS DATABASE
Total unique players: 1799
Data from: 2000-2023
============================================================

   1.  Hajek J.
   2. Abdulla M.
   3. Abel M.
   4. Acasuso J.
   5. Adaktusson J.
   6. Added D.
   7. Agaev E.
   8. Agamenone F.
   9. Agassi A.
  10. Agenor R.
  11. Ager J.
  12. Agostinelli B.
  13. Aguilar J.
  14. Ahouda A.
  15. Ajdukovic D.
  16. Al Ghareeb M.
  17. Al Khulaifi N.G.
  18. Al-Alawi S.K.
  19. Al-Ghareeb M.
  20. Alami K.
  21. Albert M.
  22. Albot R.
  23. Alcaide G.
  24. Alcaraz C.
  25. Aldi F.
  26. Allegro Y.
  27. Almagro N.
  28. Almagro N. 
  29. Alonso J.
  30. Altamirano C.
  31. Altmaier D.
  32. Alund M.
  33. Alvarez E.
  34. Alvarez Valdes L.C.
  35. Alvarez Varona N.
  36. Alves M.
  37. Alves T.
  38. Amritraj P.
  39. Ancic I.
  40. Ancic M.
  41. Andersen J.
  42. Andersen J.F.
  43. Anderson A.
  44. Anderson K.
  45. Anderson O.
  46. Andersson H.
  47. Andreev A.
  48. Andreev I.
  49. Andreev I. 
  50. Andreozzi G.
  51. Androic T.
  52. Andujar P.
  53. Aragone J.
  54. Aragone J.C.
  55. Aragone JC
  56. Aranguren J.M.
  57. Arazi H.
  58. Arevalo M.
  59. Arguello F.
  60. Armando H.
  61. Arnaboldi A.
  62. Arnaldi M.
  63. Arnold L.
  64. Arquez P.
  65. Arseneault N.
  66. Arthurs W.
  67. Artunedo Martinavarro A.
  68. Arvidsson I.
  69. Ascione A.
  70. Ascione T.
  71. Atmane T.
  72. Auckland J.
  73. Auger-Aliassime F.
  74. Authom M.
  75. Avidzba A.
  76. Awadhy O.
  77. Ayala D.
  78. Azzaro L.
  79. Baadi T.
  80. Baccanello P.
  81. Bachelot J.F
  82. Bachinger M.
  83. Baez S.
  84. Baghdatis M.
  85. Bagnis F.
  86. Bahrouzyan O.
  87. Bai Y.
  88. Bailly G.
  89. Bailly G.A.
  90. Baker B.
  91. Baker J.
  92. Balazs A.
  93. Balcells J.
  94. Baldi F.
  95. Ball C.
  96. Balleret B.
  97. Baluda V.
  98. Bangoura S.
  99. Barranco Cosano J.
 100. Barrena A.
 101. Barrere G.
 102. Barrientos N.
 103. Barrios M.
 104. Barrios Vera M.T.
 105. Barton M.
 106. Basavareddy N.
 107. Basic M.
 108. Basilashvili N.
 109. Basso A.
 110. Bastl G.
 111. Bautista Agut R.
 112. Bautista R.
 113. Bautista R. 
 114. Beck A.
 115. Beck A. 
 116. Beck K.
 117. Becker B.
 118. Becker B. 
 119. Becroft I.
 120. Bedene A.
 121. Bega A.
 122. Behr N.
 123. Behrend T.
 124. Behrmann M.
 125. Belal C.
 126. Belic L.
 127. Bellier A.
 128. Bellotti R.
 129. Bellucci M.
 130. Bellucci T.
 131. Belyaev I.
 132. Bemelmans R.
 133. Benchetrit E.
 134. Bennani K.
 135. Bennani R.
 136. Benneteau A.
 137. Benneteau J.
 138. Benneteau J. 
 139. Berankis R.
 140. Berasategui A.
 141. Berdych T.
 142. Berdych T. 
 143. Bergs Z.
 144. Berlocq C.
 145. Bernet H.
